hh1,hh2,hh6,hh7,zone,ln,mn_age_yrs,mn_attended_sch,mn_mstatus,mma1,mwage,mn_overall_happiness,mn_life_satisfaction,mn_life_satisfaction_last_year,mn_life_satisfaction_expectation,mn_education,windex5,survey,consent,mnweight
81.0,20.0,RURAL,ADAMAWA,North East,3.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Junior secondary,Poorest,MICS,YES,0.995320079946449
82.0,2.0,RURAL,ADAMAWA,North East,3.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,7,IMPROVED,BETTER,Higher/tertiary,Fourth,MICS,YES,0.816162465556088
82.0,2.0,RURAL,ADAMAWA,North East,4.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,9,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.816162465556088
82.0,2.0,RURAL,ADAMAWA,North East,5.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Senior secondary,Fourth,MICS,YES,0.816162465556088
82.0,4.0,RURAL,ADAMAWA,North East,2.0,31.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Higher/tertiary,Second,MICS,YES,0.816162465556088
82.0,4.0,RURAL,ADAMAWA,North East,3.0,30.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,BETTER,Higher/tertiary,Second,MICS,YES,0.816162465556088
82.0,4.0,RURAL,ADAMAWA,North East,5.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
82.0,4.0,RURAL,ADAMAWA,North East,7.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.816162465556088
82.0,6.0,RURAL,ADAMAWA,North East,2.0,35.0,YES,Never married/in union,"NO, NOT IN UNION",35-39,SOMEWHAT UNHAPPY,2,WORSENED,BETTER,Higher/tertiary,Middle,MICS,YES,0.816162465556088
82.0,6.0,RURAL,ADAMAWA,North East,3.0,32.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,SOMEWHAT HAPPY,7,MORE OR LESS THE SAME,BETTER,Senior secondary,Middle,MICS,YES,0.816162465556088
82.0,6.0,RURAL,ADAMAWA,North East,4.0,26.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Middle,MICS,YES,0.816162465556088
82.0,6.0,RURAL,ADAMAWA,North East,5.0,23.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Middle,MICS,YES,0.816162465556088
82.0,6.0,RURAL,ADAMAWA,North East,6.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Middle,MICS,YES,0.816162465556088
82.0,6.0,RURAL,ADAMAWA,North East,8.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Junior secondary,Middle,MICS,YES,0.816162465556088
82.0,8.0,RURAL,ADAMAWA,North East,2.0,46.0,YES,Never married/in union,"NO, NOT IN UNION",45-49,NEITHER HAPPY NOR UNHAPPY,5,WORSENED,BETTER,Senior secondary,Fourth,MICS,YES,0.816162465556088
82.0,10.0,RURAL,ADAMAWA,North East,3.0,30.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,SOMEWHAT HAPPY,7,MORE OR LESS THE SAME,BETTER,Higher/tertiary,Second,MICS,YES,0.816162465556088
82.0,10.0,RURAL,ADAMAWA,North East,4.0,27.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT HAPPY,7,IMPROVED,BETTER,Higher/tertiary,Second,MICS,YES,0.816162465556088
82.0,10.0,RURAL,ADAMAWA,North East,6.0,25.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,NEITHER HAPPY NOR UNHAPPY,6,IMPROVED,BETTER,Higher/tertiary,Second,MICS,YES,0.816162465556088
82.0,12.0,RURAL,ADAMAWA,North East,2.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,4,MORE OR LESS THE SAME,BETTER,Primary,Second,MICS,YES,0.816162465556088
82.0,12.0,RURAL,ADAMAWA,North East,3.0,39.0,YES,Never married/in union,"NO, NOT IN UNION",35-39,SOMEWHAT HAPPY,8,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.816162465556088
82.0,12.0,RURAL,ADAMAWA,North East,6.0,32.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,SOMEWHAT HAPPY,8,IMPROVED,BETTER,Junior secondary,Second,MICS,YES,0.816162465556088
82.0,12.0,RURAL,ADAMAWA,North East,7.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
82.0,14.0,RURAL,ADAMAWA,North East,9.0,25.0,NO,Never married/in union,"NO, NOT IN UNION",25-29,NEITHER HAPPY NOR UNHAPPY,4,MORE OR LESS THE SAME,BETTER,None,Middle,MICS,YES,0.816162465556088
82.0,16.0,RURAL,ADAMAWA,North East,1.0,34.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,SOMEWHAT HAPPY,8,IMPROVED,BETTER,Higher/tertiary,Second,MICS,YES,0.816162465556088
82.0,18.0,RURAL,ADAMAWA,North East,2.0,25.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT HAPPY,7,IMPROVED,BETTER,Higher/tertiary,Second,MICS,YES,0.816162465556088
82.0,18.0,RURAL,ADAMAWA,North East,3.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.816162465556088
82.0,18.0,RURAL,ADAMAWA,North East,4.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,9,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.816162465556088
82.0,20.0,RURAL,ADAMAWA,North East,3.0,39.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Senior secondary,Middle,MICS,YES,0.816162465556088
82.0,20.0,RURAL,ADAMAWA,North East,5.0,37.0,YES,Never married/in union,"NO, NOT IN UNION",35-39,SOMEWHAT HAPPY,7,MORE OR LESS THE SAME,BETTER,Higher/tertiary,Middle,MICS,YES,0.816162465556088
82.0,20.0,RURAL,ADAMAWA,North East,6.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,7,IMPROVED,BETTER,Senior secondary,Middle,MICS,YES,0.816162465556088
82.0,20.0,RURAL,ADAMAWA,North East,7.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
83.0,1.0,RURAL,ADAMAWA,North East,3.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,8,IMPROVED,BETTER,Junior secondary,Poorest,MICS,YES,0.381505640990797
83.0,5.0,RURAL,ADAMAWA,North East,3.0,23.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,6,IMPROVED,BETTER,Senior secondary,Poorest,MICS,YES,0.381505640990797
83.0,5.0,RURAL,ADAMAWA,North East,7.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,7,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Poorest,MICS,YES,0.381505640990797
83.0,7.0,RURAL,ADAMAWA,North East,3.0,25.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Junior secondary,Poorest,MICS,YES,0.381505640990797
83.0,9.0,RURAL,ADAMAWA,North East,3.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Senior secondary,Poorest,MICS,YES,0.381505640990797
83.0,9.0,RURAL,ADAMAWA,North East,4.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,8,IMPROVED,BETTER,Primary,Poorest,MICS,YES,0.381505640990797
83.0,11.0,RURAL,ADAMAWA,North East,2.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Primary,Poorest,MICS,YES,0.381505640990797
83.0,13.0,RURAL,ADAMAWA,North East,1.0,34.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,VERY HAPPY,9,IMPROVED,BETTER,Higher/tertiary,Second,MICS,YES,0.381505640990797
83.0,13.0,RURAL,ADAMAWA,North East,4.0,25.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,6,IMPROVED,BETTER,Junior secondary,Second,MICS,YES,0.381505640990797
83.0,13.0,RURAL,ADAMAWA,North East,5.0,22.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,8,IMPROVED,MORE OR LESS THE SAME,Senior secondary,Second,MICS,YES,0.381505640990797
83.0,15.0,RURAL,ADAMAWA,North East,3.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Junior secondary,Poorest,MICS,YES,0.381505640990797
83.0,17.0,RURAL,ADAMAWA,North East,4.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT UNHAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Junior secondary,Poorest,MICS,YES,0.381505640990797
83.0,17.0,RURAL,ADAMAWA,North East,5.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,5,IMPROVED,BETTER,Primary,Poorest,MICS,YES,0.381505640990797
84.0,2.0,URBAN,ADAMAWA,North East,1.0,48.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,VERY HAPPY,9,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,10.0,48.0,YES,Never married/in union,"NO, NOT IN UNION",45-49,VERY HAPPY,5,IMPROVED,BETTER,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,11.0,41.0,YES,Never married/in union,"NO, NOT IN UNION",40-44,VERY HAPPY,8,IMPROVED,BETTER,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,12.0,31.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,VERY HAPPY,7,IMPROVED,BETTER,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,13.0,27.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,4,IMPROVED,BETTER,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,14.0,24.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,6,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,17.0,27.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,7,IMPROVED,BETTER,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,18.0,29.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,6,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,19.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,20.0,33.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,SOMEWHAT HAPPY,7,IMPROVED,BETTER,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,21.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,6,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,22.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,6,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,23.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,6,IMPROVED,MORE OR LESS THE SAME,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,24.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,6,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,25.0,27.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,26.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,27.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,5,IMPROVED,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,28.0,23.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,8,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,29.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Junior secondary,Richest,MICS,YES,0.665316317793896
84.0,2.0,URBAN,ADAMAWA,North East,30.0,46.0,YES,Never married/in union,"NO, NOT IN UNION",45-49,VERY HAPPY,6,IMPROVED,BETTER,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,4.0,URBAN,ADAMAWA,North East,1.0,36.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,VERY HAPPY,8,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.665316317793896
84.0,6.0,URBAN,ADAMAWA,North East,3.0,28.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,6,IMPROVED,BETTER,Senior secondary,Poorest,MICS,YES,0.665316317793896
84.0,6.0,URBAN,ADAMAWA,North East,4.0,23.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,4,IMPROVED,MORE OR LESS THE SAME,Senior secondary,Poorest,MICS,YES,0.665316317793896
84.0,6.0,URBAN,ADAMAWA,North East,7.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,7,IMPROVED,BETTER,Junior secondary,Poorest,MICS,YES,0.665316317793896
84.0,6.0,URBAN,ADAMAWA,North East,8.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,6,IMPROVED,BETTER,Primary,Poorest,MICS,YES,0.665316317793896
84.0,8.0,URBAN,ADAMAWA,North East,4.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,6,IMPROVED,BETTER,Senior secondary,Middle,MICS,YES,0.665316317793896
84.0,8.0,URBAN,ADAMAWA,North East,5.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Senior secondary,Middle,MICS,YES,0.665316317793896
84.0,8.0,URBAN,ADAMAWA,North East,8.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,7,IMPROVED,MORE OR LESS THE SAME,Primary,Middle,MICS,YES,0.665316317793896
84.0,10.0,URBAN,ADAMAWA,North East,1.0,29.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,VERY HAPPY,8,IMPROVED,BETTER,Senior secondary,Middle,MICS,YES,0.665316317793896
84.0,12.0,URBAN,ADAMAWA,North East,1.0,46.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,VERY HAPPY,9,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,12.0,URBAN,ADAMAWA,North East,4.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,12.0,URBAN,ADAMAWA,North East,12.0,23.0,NO,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,None,Richest,MICS,YES,0.665316317793896
84.0,12.0,URBAN,ADAMAWA,North East,13.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,6,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.665316317793896
84.0,12.0,URBAN,ADAMAWA,North East,14.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,6,IMPROVED,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,12.0,URBAN,ADAMAWA,North East,17.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,8,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,12.0,URBAN,ADAMAWA,North East,18.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.665316317793896
84.0,14.0,URBAN,ADAMAWA,North East,5.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Fourth,MICS,YES,0.665316317793896
84.0,16.0,URBAN,ADAMAWA,North East,1.0,48.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,VERY HAPPY,7,IMPROVED,BETTER,Senior secondary,Middle,MICS,YES,0.665316317793896
84.0,16.0,URBAN,ADAMAWA,North East,8.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,6,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Middle,MICS,YES,0.665316317793896
84.0,18.0,URBAN,ADAMAWA,North East,5.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.665316317793896
84.0,18.0,URBAN,ADAMAWA,North East,6.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.665316317793896
84.0,18.0,URBAN,ADAMAWA,North East,8.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,7,IMPROVED,BETTER,Junior secondary,Fourth,MICS,YES,0.665316317793896
84.0,18.0,URBAN,ADAMAWA,North East,12.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,8,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.665316317793896
84.0,18.0,URBAN,ADAMAWA,North East,13.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,9,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.665316317793896
84.0,20.0,URBAN,ADAMAWA,North East,3.0,26.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,6,IMPROVED,BETTER,Higher/tertiary,Middle,MICS,YES,0.665316317793896
84.0,20.0,URBAN,ADAMAWA,North East,4.0,24.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,8,IMPROVED,BETTER,Senior secondary,Middle,MICS,YES,0.665316317793896
84.0,20.0,URBAN,ADAMAWA,North East,6.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT UNHAPPY,8,IMPROVED,BETTER,Senior secondary,Middle,MICS,YES,0.665316317793896
84.0,20.0,URBAN,ADAMAWA,North East,8.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,8,IMPROVED,BETTER,Junior secondary,Middle,MICS,YES,0.665316317793896
85.0,2.0,RURAL,ADAMAWA,North East,1.0,32.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Senior secondary,Poorest,MICS,YES,0.595651955217873
85.0,4.0,RURAL,ADAMAWA,North East,1.0,28.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,VERY HAPPY,7,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.595651955217873
85.0,6.0,RURAL,ADAMAWA,North East,1.0,27.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,VERY HAPPY,7,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.595651955217873
85.0,10.0,RURAL,ADAMAWA,North East,1.0,32.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,VERY HAPPY,8,IMPROVED,BETTER,Primary,Poorest,MICS,YES,0.595651955217873
85.0,12.0,RURAL,ADAMAWA,North East,1.0,30.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,SOMEWHAT HAPPY,4,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.595651955217873
85.0,16.0,RURAL,ADAMAWA,North East,6.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,5,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.595651955217873
85.0,16.0,RURAL,ADAMAWA,North East,8.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,6,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.595651955217873
85.0,16.0,RURAL,ADAMAWA,North East,9.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Second,MICS,YES,0.595651955217873
85.0,16.0,RURAL,ADAMAWA,North East,11.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,5,WORSENED,WORSE,Junior secondary,Second,MICS,YES,0.595651955217873
85.0,18.0,RURAL,ADAMAWA,North East,1.0,45.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,VERY HAPPY,6,IMPROVED,BETTER,Higher/tertiary,Second,MICS,YES,0.595651955217873
85.0,20.0,RURAL,ADAMAWA,North East,1.0,29.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Second,MICS,YES,0.595651955217873
86.0,2.0,URBAN,ADAMAWA,North East,8.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,7,IMPROVED,BETTER,Senior secondary,Poorest,MICS,YES,0.679655597275792
86.0,4.0,URBAN,ADAMAWA,North East,3.0,26.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,6,IMPROVED,BETTER,Higher/tertiary,Fourth,MICS,YES,0.679655597275792
86.0,4.0,URBAN,ADAMAWA,North East,4.0,22.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,8,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.679655597275792
86.0,4.0,URBAN,ADAMAWA,North East,5.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,7,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.679655597275792
86.0,4.0,URBAN,ADAMAWA,North East,7.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Fourth,MICS,YES,0.679655597275792
86.0,6.0,URBAN,ADAMAWA,North East,3.0,35.0,YES,Never married/in union,"NO, NOT IN UNION",35-39,VERY HAPPY,8,IMPROVED,BETTER,Primary,Second,MICS,YES,0.679655597275792
86.0,6.0,URBAN,ADAMAWA,North East,7.0,31.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,VERY HAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Second,MICS,YES,0.679655597275792
86.0,6.0,URBAN,ADAMAWA,North East,8.0,28.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,7,IMPROVED,BETTER,Primary,Second,MICS,YES,0.679655597275792
86.0,6.0,URBAN,ADAMAWA,North East,9.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,6,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.679655597275792
86.0,6.0,URBAN,ADAMAWA,North East,13.0,25.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY HAPPY,6,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.679655597275792
86.0,6.0,URBAN,ADAMAWA,North East,16.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,7,IMPROVED,BETTER,Senior secondary,Second,MICS,YES,0.679655597275792
86.0,8.0,URBAN,ADAMAWA,North East,6.0,19.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,VERY HAPPY,6,IMPROVED,BETTER,Primary,Fourth,MICS,YES,0.679655597275792
86.0,10.0,URBAN,ADAMAWA,North East,1.0,37.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,VERY HAPPY,7,IMPROVED,BETTER,Higher/tertiary,Middle,MICS,YES,0.679655597275792
86.0,12.0,URBAN,ADAMAWA,North East,1.0,41.0,NO,Currently married/in union,"YES, LIVING WITH A PARTNER",40-44,VERY HAPPY,8,IMPROVED,MORE OR LESS THE SAME,None,Middle,MICS,YES,0.679655597275792
86.0,14.0,URBAN,ADAMAWA,North East,2.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY HAPPY,5,IMPROVED,BETTER,Primary,Second,MICS,YES,0.679655597275792
86.0,14.0,URBAN,ADAMAWA,North East,3.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Primary,Second,MICS,YES,0.679655597275792
86.0,16.0,URBAN,ADAMAWA,North East,1.0,40.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,VERY HAPPY,8,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Middle,MICS,YES,0.679655597275792
